"CIS";"CIP13";"CIP7";"NOM_CIP13";"statut";"action";"dateAction";"libelle";"agrement";"taux";"prixHorsHono";"prixTotal";"honoraires";"denomination";"dateAMM";"numAMMCE";"nomCIS";"numFamille";"type";"tri";"denomination_ss_labo";"nb_CIS";"unite";"contenance";"unite2";"unite_final"
"61511543";"3400926690557";"2669055";"CANDESARTAN EVOLUGEN 16 MG CPR SEC 30";"Présentation active";"Déclaration de commercialisation";2013-09-05;"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";"oui";"65%";"4,57";"5,59";"1,02";"CANDESARTAN EVOLUGEN 16 mg, comprime secable";"2012-10-31";"";"CANDESARTAN EVOLUGEN 16 mg";"865";"1";7;"CANDESARTAN 16 mg, comprimé sécable";2;1;NA;30;30
"61512136";"3400927610806";"2761080";"NEVIRAPINE SANDOZ 200 MG CPR 60";"Présentation active";"Déclaration de commercialisation";2014-07-15;"plaquette(s) PVC-Aluminium de 60 comprimé(s)";"oui";"100%";"106,30";"107,32";"1,02";"NEVIRAPINE SANDOZ 200 mg, comprime";"2013-10-10";"";"NEVIRAPINE SANDOZ 200 mg";"902";"1";5;"NEVIRAPINE 200 mg, comprimé";1;1;NA;60;60
"61516533";"3400921938364";"2193836";"LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 100 MG/25 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2014-02-06;"plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 90 comprimé(s)";"oui";"65%";"13,19";"15,95";"2,76";"LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 100 mg/25 mg, comprime pellicule";"2012-02-14";"";"LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 100 mg/25 mg";"623";"1";18;"LOSARTAN/HYDROCHLOROTHIAZIDE 100 mg/25 mg, comprimé pelliculé";2;1;NA;90;90
"61516533";"3400921938074";"2193807";"LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 100 MG/25 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2013-12-06;"plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"4,57";"5,59";"1,02";"LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 100 mg/25 mg, comprime pellicule";"2012-02-14";"";"LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 100 mg/25 mg";"623";"1";18;"LOSARTAN/HYDROCHLOROTHIAZIDE 100 mg/25 mg, comprimé pelliculé";2;1;NA;30;30
"61519586";"3400930081372";"3008137";"ATARAX 25MG CPR SEC 30";"Présentation active";"Déclaration de commercialisation";1956-01-19;"plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"1,99";"3,01";"1,02";"ATARAX 25 mg, comprime pellicule secable";"1988-08-16";"";"ATARAX 25 mg";"1199";"0";1;"ATARAX 25 mg, comprimé pelliculé sécable";1;1;NA;30;30
"61521911";"3400937789875";"3778987";"GABAPENTINE MYLAN 100MG GELULE 90";"Présentation active";"Déclaration de commercialisation";2007-03-07;"plaquette(s) PVC-Aluminium de 90 gélule(s)";"oui";"65%";"8,23";"9,25";"1,02";"GABAPENTINE MYLAN 100 mg, gelule";"2006-12-12";"";"GABAPENTINE MYLAN 100 mg";"364";"1";7;"GABAPENTINE 100 mg, gélule";1;1;NA;90;90
"61527857";"3400934548420";"3454842";"OGAST 15MG GELULE 30";"Présentation active";"Déclaration de commercialisation";1999-04-15;"plaquette(s) PVC PVDC aluminium de 30 gélule(s)";"oui";"65%";"8,80";"9,82";"1,02";"OGAST 15 mg, gelule gastro-resistante";"1996-04-22";"";"OGAST 15 mg";"593";"0";2;"OGAST 15 mg, gélule gastro-résistante";1;1;NA;30;30
"61530248";"3400937814461";"3781446";"FLUCONAZOLE EG 50 MG/5 ML PDRE SUSP BUV 1/35 ML";"Présentation active";"Déclaration de commercialisation";2007-03-16;"1 flacon(s) en verre brun de 35 ml de suspension reconstituée avec cuillère-mesure polystyrène";"oui";"65%";"13,55";"14,57";"1,02";"FLUCONAZOLE EG 50 mg/5 ml, poudre pour suspension buvable";"2006-12-27";"";"FLUCONAZOLE EG 50 mg/5 ml";"550";"1";4;"FLUCONAZOLE 50 mg/5 ml, poudre pour suspension buvable";1;1;"35ML";1;1
"61532231";"3400949191482";"4919148";"OXOMEMAZINE BIOGARAN 0,33 MG/ML SANS SUCRE FL 1/150 ML";"Présentation active";"Déclaration de commercialisation";2010-09-29;"1 flacon(s) en verre brun de 150 ml avec gobelet(s) doseur(s) polypropylène";"oui";"15%";"1,99";"3,01";"1,02";"OXOMEMAZINE BIOGARAN 0,33 mg/ml SANS SUCRE, solution buvable edulcoree a l'acesulfame potassique";"2010-07-22";"";"OXOMEMAZINE BIOGARAN 0,33 mg/ml SANS SUCRE";"952";"1";4;"OXOMEMAZINE 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique";1;1;"150ML";1;1
"61535074";"3400935646194";"3564619";"CEFADROXIL MYLAN 1G CPR 6";"Présentation active";"Déclaration de commercialisation";2001-11-12;"plaquette(s) PVC PVDC aluminium de 6 comprimé(s)";"oui";"65%";"4,32";"5,34";"1,02";"CEFADROXIL MYLAN 1 g, comprime pellicule";"2001-03-06";"";"CEFADROXIL MYLAN 1 g";"173";"1";2;"CEFADROXIL 1 g, comprimé pelliculé";1;1;NA;6;6
"61535416";"3400939134680";"3913468";"MACROGOL 4000 SANDOZ 10 G PDRE SOL BUV SACHET 20";"Présentation active";"Déclaration de commercialisation";2014-08-06;"20 sachet(s) papier aluminium polyéthylène de 10,167 g";"oui";"30%";"2,59";"3,61";"1,02";"MACROGOL 4000 SANDOZ 10 g, poudre pour solution buvable en sachet";"2010-05-20";"";"MACROGOL 4000 SANDOZ 10 g";"736";"1";4;"MACROGOL 4000 10 g, poudre pour solution buvable en sachet";1;20;"10,167g";1;20
"61536443";"3400949606139";"4960613";"DORZOLAMIDE MYLAN 2 % COLLYRE 1/5 ML";"Présentation active";"Déclaration de commercialisation";2011-06-15;"1 flacon(s) compte-gouttes polyéthylène de 5 ml";"oui";"65%";"4,67";"5,69";"1,02";"DORZOLAMIDE MYLAN 2 %, collyre en solution";"2010-10-28";"";"DORZOLAMIDE MYLAN 2 %";"750";"1";5;"DORZOLAMIDE 2 %, collyre en solution";1;1;"5ML";1;1
"61536799";"3400937803694";"3780369";"NICORANDIL ZENTIVA 20 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2011-08-18;"film(s) thermosoudé(s) aluminium de 30 comprimé(s)";"oui";"65%";"6,98";"8,00";"1,02";"NICORANDIL ZENTIVA 20 mg, comprime";"2007-01-09";"";"NICORANDIL ZENTIVA 20 mg";"480";"1";10;"NICORANDIL 20 mg, comprimé";1;1;NA;30;30
"61539350";"3400935740328";"3574032";"PREDNISOLONE EG 20MG CPR EFF 20";"Présentation active";"Déclaration de commercialisation";2003-01-20;"1 flacon(s) en verre brun de 20 comprimé(s)";"oui";"65%";"3,25";"4,27";"1,02";"PREDNISOLONE EG 20 mg, comprime effervescent secables";"2001-08-31";"";"PREDNISOLONE EG 20 mg";"135";"1";5;"PREDNISOLONE 20 mg, comprimé effervescent sécables";1;1;NA;20;20
"61541821";"3400933208578";"3320857";"AZANTAC 150MG CPR EFF 30";"Présentation active";"Déclaration de commercialisation";1990-09-19;"tube(s) polypropylène dioxyde de titane de 30 comprimé(s)";"oui";"15%";"9,64";"10,66";"1,02";"AZANTAC 150 mg, comprime effervescent";"1989-07-04";"";"AZANTAC 150 mg";"10";"0";1;"AZANTAC 150 mg, comprimé effervescent";1;1;NA;30;30
"61542325";"3400927710780";"2771078";"RALOXIFENE ARROW 60 MG CPR 28";"Présentation active";"Déclaration de commercialisation";2016-06-02;"plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s)";"oui";"65%";"12,56";"13,58";"1,02";"RALOXIFENE ARROW 60 mg, comprime pellicule";"2015-12-30";"";"RALOXIFENE ARROW 60 mg";"963";"1";4;"RALOXIFENE 60 mg, comprimé pelliculé";2;1;NA;28;28
"61542325";"3400927711091";"2771109";"RALOXIFENE ARROW 60 MG CPR 84";"Présentation active";"Déclaration de commercialisation";2016-06-20;"plaquette(s) polyamide aluminium PVC-Aluminium de 84 comprimé(s)";"oui";"65%";"35,43";"38,19";"2,76";"RALOXIFENE ARROW 60 mg, comprime pellicule";"2015-12-30";"";"RALOXIFENE ARROW 60 mg";"963";"1";4;"RALOXIFENE 60 mg, comprimé pelliculé";2;1;NA;84;84
"61542706";"3400939629810";"3962981";"TRIMEBUTINE EVOLUGEN 200MG CPR 30";"Présentation active";"Déclaration de commercialisation";2010-09-13;"plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)";"oui";"15%";"5,17";"6,19";"1,02";"TRIMEBUTINE EVOLUGEN 200 mg, comprime";"2009-08-27";"";"TRIMEBUTINE EVOLUGEN 200 mg";"460";"1";7;"TRIMEBUTINE 200 mg, comprimé";1;1;NA;30;30
"61544116";"3400935556035";"3555603";"MOLSIDOMINE EG 4MG CPR 30";"Présentation active";"Déclaration de commercialisation";2001-05-05;"plaquette(s) PVC-Aluminium PVDC de 30 comprimé(s)";"oui";"65%";"2,91";"3,93";"1,02";"MOLSIDOMINE EG 4 mg, comprime";"2000-09-15";"";"MOLSIDOMINE EG 4 mg";"50";"1";5;"MOLSIDOMINE 4 mg, comprimé";1;1;NA;30;30
"61547030";"3400938015393";"3801539";"COAPROVEL 150 MG/12,5 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2008-01-10;"6 plaquette(s) thermoformée(s) PVC PVDC aluminium de 15 comprimé(s)";"oui";"65%";"19,07";"21,83";"2,76";"COAPROVEL 150 mg/12,5 mg, comprime pellicule";"2004-03-02";"EU/1/98/086";"COAPROVEL 150 mg/12,5 mg";"979";"0";1;"COAPROVEL 150 mg/12,5 mg, comprimé pelliculé";3;6;NA;15;90
"61547030";"3400938015225";"3801522";"COAPROVEL 150 MG/12,5 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2008-02-01;"2 plaquette(s) thermoformée(s) PVC PVDC aluminium de 15 comprimé(s)";"oui";"65%";"6,45";"7,47";"1,02";"COAPROVEL 150 mg/12,5 mg, comprime pellicule";"2004-03-02";"EU/1/98/086";"COAPROVEL 150 mg/12,5 mg";"979";"0";1;"COAPROVEL 150 mg/12,5 mg, comprimé pelliculé";3;2;NA;15;30
"61547030";"3400956495214";"5649521";NA;"Présentation active";"Déclaration de commercialisation";2004-10-04;"56 plaquette(s) thermoformée(s) PVC PVDC aluminium de 1 comprimé(s)";"oui";"";"";"";"";"COAPROVEL 150 mg/12,5 mg, comprime pellicule";"2004-03-02";"EU/1/98/086";"COAPROVEL 150 mg/12,5 mg";"979";"0";1;"COAPROVEL 150 mg/12,5 mg, comprimé pelliculé";3;56;NA;1;56
"61547468";"3400935306326";"3530632";"CARBAMAZEPINE MYLAN LP 200MG CPR 30";"Présentation active";"Déclaration de commercialisation";2000-10-31;"plaquette(s) thermoformée(s) PVC-aluminium PVDC de 30 comprimé(s)";"oui";"65%";"2,04";"3,06";"1,02";"CARBAMAZEPINE MYLAN L.P. 200 mg, comprime secable a liberation prolongee";"1999-12-17";"";"CARBAMAZEPINE MYLAN L.P. 200 mg";"248";"1";2;"CARBAMAZEPINE L.P. 200 mg, comprimé sécable à libération prolongée";1;1;NA;30;30
"61547571";"3400957537449";"5753744";NA;"Présentation active";"Déclaration de commercialisation";2010-03-23;"plaquette(s) thermoformée(s) PVC-Aluminium de 100 comprimé(s)";"oui";"";"";"";"";"LASILIX SPECIAL 500 mg, comprime secable";"1987-10-28";"";"LASILIX SPECIAL 500 mg";"1021";"0";1;"LASILIX SPECIAL 500 mg, comprimé sécable";1;1;NA;100;100
"61552134";"3400949408986";"4940898";"CLARITHROMYCINE TEVA 500 MG CPR 10";"Présentation active";"Déclaration de commercialisation";2010-12-16;"plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 10 comprimé(s)";"oui";"65%";"8,90";"9,92";"1,02";"CLARITHROMYCINE TEVA 500 mg, comprime pellicule a liberation modifiee";"2010-09-02";"";"CLARITHROMYCINE TEVA 500 mg";"888";"1";8;"CLARITHROMYCINE 500 mg, comprimé pelliculé à libération modifiée";2;1;NA;10;10
"61552134";"3400949408528";"4940852";"CLARITHROMYCINE TEVA 500 MG CPR 5";"Présentation active";"Déclaration de commercialisation";2010-12-16;"plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 5 comprimé(s)";"oui";"65%";"4,58";"5,60";"1,02";"CLARITHROMYCINE TEVA 500 mg, comprime pellicule a liberation modifiee";"2010-09-02";"";"CLARITHROMYCINE TEVA 500 mg";"888";"1";8;"CLARITHROMYCINE 500 mg, comprimé pelliculé à libération modifiée";2;1;NA;5;5
"61553841";"3400937921541";"3792154";"REQUIP LP 2MG CPR 28";"Présentation active";"Déclaration de commercialisation";2008-01-14;"plaquette(s) PVC polyéthylène PVDC aluminium papier de 28 comprimé(s) avec sécurité enfant";"oui";"65%";"7,01";"8,03";"1,02";"REQUIP LP 2 mg, comprime a liberation prolongee";"2007-03-28";"";"REQUIP LP 2 mg";"1034";"0";1;"REQUIP 2 mg, comprimé à libération prolongée";1;1;NA;28;28
"61556061";"3400935357243";"3535724";"TRILEPTAL 300MG CPR 50";"Présentation active";"Déclaration de commercialisation";2001-03-12;"plaquette(s) thermoformée(s) PVC-aluminium PVDC polyéthylène de 50 comprimé(s)";"oui";"65%";"15,69";"16,71";"1,02";"TRILEPTAL 300 mg, comprime pellicule";"2000-01-19";"";"TRILEPTAL 300 mg";"589";"0";1;"TRILEPTAL 300 mg, comprimé pelliculé";1;1;NA;50;50
"61556809";"3400949610969";"4961096";"VENLAFAXINE KRKA 37,5 MG GÉ GELULE 30";"Présentation active";"Déclaration de commercialisation";2013-02-21;"plaquette(s) thermoformée(s) aluminium PVC PVDC de 30 gélule(s)";"oui";"65%";"5,49";"6,51";"1,02";"VENLAFAXINE KRKA L.P. 37,5 mg, gelule a liberation prolongee";"2011-03-04";"";"VENLAFAXINE KRKA L.P. 37,5 mg";"630";"1";13;"VENLAFAXINE L.P. 37,5 mg, gélule à libération prolongée";1;1;NA;30;30
"61562566";"3400956114641";"5611464";NA;"Présentation active";"Déclaration de commercialisation";1999-08-15;"5 ampoule(s) en verre de 2 ml";"oui";"";"";"";"";"SUFENTA 10 microgrammes/2 ml, solution injectable (I.V. ou peridurale)";"1998-09-22";"";"SUFENTA 10 microgrammes/2 ml";"358";"0";1;"SUFENTA 10 microgrammes/2 ml, solution injectable (I.V. ou péridurale)";1;5;"2ml";1;5
"61567061";"3400949879250";"4987925";"FOSFOPHARM ADULTES GÉ 3 G GRANULES SOL BUV 1/8 G";"Présentation active";"Déclaration de commercialisation";2013-01-14;"1 sachet(s) papier polyéthylène aluminium de 8 g";"oui";"65%";"4,66";"5,68";"1,02";"FOSFOPHARM ADULTES 3 g, granules pour solution buvable en sachet";"2010-12-28";"";"FOSFOPHARM ADULTES 3 g";"782";"1";16;"FOSFOPHARM ADULTES 3 g, granulés pour solution buvable en sachet";1;1;"8G";1;1
"61567727";"3400935817822";"3581782";"ALPRAZOLAM ALTER 0,25MG CPR SEC 30";"Présentation active";"Déclaration de commercialisation";2006-01-19;"plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s)";"oui";"65%";"1,24";"2,26";"1,02";"ALPRAZOLAM ALTER 0,25 mg, comprime secable";"2001-11-15";"";"ALPRAZOLAM ALTER 0,25 mg";"271";"1";2;"ALPRAZOLAM 0,25 mg, comprimé sécable";1;1;NA;30;30
"61569137";"3400939975481";"3997548";"REPAGLINIDE MYLAN PHARMA 0,5 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2011-01-31;"plaquette(s) thermoformée(s) aluminium de 90 comprimé(s)";"oui";"65%";"7,61";"8,63";"1,02";"REPAGLINIDE MYLAN PHARMA 0,5 mg, comprime";"2010-01-28";"";"REPAGLINIDE MYLAN PHARMA 0,5 mg";"882";"1";11;"REPAGLINIDE 0,5 mg, comprimé";2;1;NA;90;90
"61569137";"3400939975603";"3997560";"REPAGLINIDE MYLAN PHARMA 0,5 MG CPR 270";"Présentation active";"Déclaration de commercialisation";2011-01-31;"plaquette(s) thermoformée(s) aluminium de 270 comprimé(s)";"oui";"65%";"21,40";"24,16";"2,76";"REPAGLINIDE MYLAN PHARMA 0,5 mg, comprime";"2010-01-28";"";"REPAGLINIDE MYLAN PHARMA 0,5 mg";"882";"1";11;"REPAGLINIDE 0,5 mg, comprimé";2;1;NA;270;270
"61569856";"3400956376766";"5637676";NA;"Présentation active";"Déclaration de commercialisation";2002-01-08;"100 ampoule(s) en verre de 2 ml";"oui";"";"";"";"";"DIAZEPAM RENAUDIN 10 mg/2 ml, solution injectable";"2002-01-08";"";"DIAZEPAM RENAUDIN 10 mg/2 ml";"1349";"1";2;"DIAZEPAM RENAUDIN 10 mg/2 ml, solution injectable";2;100;"2ml";1;100
"61569856";"3400935814630";"3581463";NA;"Présentation active";"Déclaration de commercialisation";2017-03-29;"10 ampoule(s) en verre de 2 ml";"oui";"";"";"";"";"DIAZEPAM RENAUDIN 10 mg/2 ml, solution injectable";"2002-01-08";"";"DIAZEPAM RENAUDIN 10 mg/2 ml";"1349";"1";2;"DIAZEPAM RENAUDIN 10 mg/2 ml, solution injectable";2;10;"2ml";1;10
"61572941";"3400932238873";"3223887";"ERY 500MG CPR GE 20";"Présentation active";"Déclaration de commercialisation";1979-09-19;"plaquette(s) thermoformée(s) PVC-Aluminium de 20 comprimé(s)";"oui";"65%";"3,20";"4,22";"1,02";"ERY 500 mg, comprime";"1985-07-29";"";"ERY 500 mg";"184";"1";2;"ERY 500 mg, comprimé";1;1;NA;20;20
"61574294";"3400936267053";"3626705";"NORFLOXACINE TEVA 400 MG CPR 10";"Présentation active";"Déclaration de commercialisation";2004-03-11;"plaquette(s) PVC PVDC aluminium de 10 comprimé(s)";"oui";"65%";"3,39";"4,41";"1,02";"NORFLOXACINE TEVA 400 mg, comprime pellicule";"2003-09-30";"";"NORFLOXACINE TEVA 400 mg";"191";"1";9;"NORFLOXACINE 400 mg, comprimé pelliculé";1;1;NA;10;10
"61581417";"3400932141159";"3214115";"HYDROCORTISONE UPJOHN 100MG PDRE SOL INJ 1/2 ML";"Présentation active";"Déclaration de commercialisation";1994-09-19;"1 flacon(s) en verre - 1 ampoule(s) en verre de 2 ml";"oui";"65%";"2,02";"3,04";"1,02";"HYDROCORTISONE UPJOHN 100 mg, preparation injectable";"1977-07-25";"";"HYDROCORTISONE UPJOHN 100 mg";"1408";"0";1;"HYDROCORTISONE UPJOHN 100 mg, préparation injectable";1;1;"2ML";1;1
"61581456";"3400949768967";"4976896";"OMEPRAZOLE KRKA 20 MG GELULE GASTRORESISTANTE 7";"Présentation active";"Déclaration de commercialisation";2012-06-18;"flacon(s) polyéthylène haute densité (PEHD) de 7 gélule(s)";"oui";"65%";"1,36";"2,38";"1,02";"OMEPRAZOLE KRKA 20 mg, gelule gastro-resistante";"2010-12-06";"";"OMEPRAZOLE KRKA 20 mg";"14";"1";20;"OMEPRAZOLE 20 mg, gélule gastro-résistante";3;1;NA;7;7
"61581456";"3400949769278";"4976927";"OMEPRAZOLE KRKA 20 MG GELULE GASTRORESISTANTE 28";"Présentation active";"Déclaration de commercialisation";2012-06-22;"flacon(s) polyéthylène haute densité (PEHD) de 28 gélule(s)";"oui";"65%";"5,05";"6,07";"1,02";"OMEPRAZOLE KRKA 20 mg, gelule gastro-resistante";"2010-12-06";"";"OMEPRAZOLE KRKA 20 mg";"14";"1";20;"OMEPRAZOLE 20 mg, gélule gastro-résistante";3;1;NA;28;28
"61581456";"3400949769049";"4976904";"OMEPRAZOLE KRKA 20 MG GELULE GASTRORESISTANTE 14";"Présentation active";"Déclaration de commercialisation";2012-07-06;"flacon(s) polyéthylène haute densité (PEHD) de 14 gélule(s)";"oui";"65%";"2,56";"3,58";"1,02";"OMEPRAZOLE KRKA 20 mg, gelule gastro-resistante";"2010-12-06";"";"OMEPRAZOLE KRKA 20 mg";"14";"1";20;"OMEPRAZOLE 20 mg, gélule gastro-résistante";3;1;NA;14;14
"61587466";"3400938060348";"3806034";"TOPIRAMATE EG 200MG CPR 28";"Présentation active";"Déclaration de commercialisation";2009-09-28;"plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s)";"oui";"65%";"11,49";"12,51";"1,02";"TOPIRAMATE EG 200 mg, comprime pellicule";"2008-02-14";"";"TOPIRAMATE EG 200 mg";"497";"1";6;"TOPIRAMATE 200 mg, comprimé pelliculé";1;1;NA;28;28
"61589937";"3400935036582";"3503658";"RIZATRIPTAN TEVA 10 MG CPR DISP 12";"Présentation active";"Déclaration de commercialisation";2013-08-19;"12 plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 1 comprimé(s)";"oui";"65%";"17,04";"18,06";"1,02";"RIZATRIPTAN TEVA 10 mg, comprime orodispersible";"2010-03-11";"";"RIZATRIPTAN TEVA 10 mg";"910";"1";7;"RIZATRIPTAN 10 mg, comprimé orodispersible";1;12;NA;1;12
"61591023";"3400936728813";"3672881";"AMISULPRIDE TEVA 100 MG CPR SEC 30";"Présentation active";"Déclaration de commercialisation";2005-03-25;"plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"10,27";"11,29";"1,02";"AMISULPRIDE TEVA 100 mg, comprime secable";"2004-11-19";"";"AMISULPRIDE TEVA 100 mg";"264";"1";9;"AMISULPRIDE 100 mg, comprimé sécable";1;1;NA;30;30
"61591226";"3400937156103";"3715610";"CIBADREX 10MG/12,5MG CPR 90";"Présentation active";"Déclaration de commercialisation";2006-10-18;"plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)";"oui";"65%";"12,13";"14,89";"2,76";"CIBADREX 10 mg/12,5 mg, comprime pellicule secable";"1992-07-20";"";"CIBADREX 10 mg/12,5 mg";"706";"0";1;"CIBADREX 10 mg/12,5 mg, comprimé pelliculé sécable";2;1;NA;90;90
"61591226";"3400937155960";"3715596";"CIBADREX 10MG/12,5MG CPR 30";"Présentation active";"Déclaration de commercialisation";2006-09-26;"plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"4,17";"5,19";"1,02";"CIBADREX 10 mg/12,5 mg, comprime pellicule secable";"1992-07-20";"";"CIBADREX 10 mg/12,5 mg";"706";"0";1;"CIBADREX 10 mg/12,5 mg, comprimé pelliculé sécable";2;1;NA;30;30
"61594165";"3400938502718";"3850271";"CLARITHROMYCINE MYLAN 50 MG/ML 1 FLACON DE 60 ML";"Présentation active";"Déclaration de commercialisation";2008-06-03;"1 flacon(s) polyéthylène de 60 ml avec seringue(s) pour administration orale polyéthylène polypropylène";"oui";"65%";"6,30";"7,32";"1,02";"CLARITHROMYCINE MYLAN 50 mg/ml, granules pour suspension buvable";"2008-04-11";"";"CLARITHROMYCINE MYLAN 50 mg/ml";"672";"1";4;"CLARITHROMYCINE 50 mg/ml, granulés pour suspension buvable";1;1;"60ml";1;1
"61599041";"3400937399708";"3739970";"RAMIPRIL BIOGARAN 5 MG CPR SEC 90";"Présentation active";"Déclaration de commercialisation";2007-07-12;"plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)";"oui";"65%";"13,19";"15,95";"2,76";"RAMIPRIL BIOGARAN 5 mg, comprime secable";"2006-01-12";"";"RAMIPRIL BIOGARAN 5 mg";"374";"1";6;"RAMIPRIL 5 mg, comprimé sécable";2;1;NA;90;90
"61599041";"3400937253765";"3725376";"RAMIPRIL BIOGARAN 5 MG CPR SEC 30";"Présentation active";"Déclaration de commercialisation";2006-04-06;"plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"4,57";"5,59";"1,02";"RAMIPRIL BIOGARAN 5 mg, comprime secable";"2006-01-12";"";"RAMIPRIL BIOGARAN 5 mg";"374";"1";6;"RAMIPRIL 5 mg, comprimé sécable";2;1;NA;30;30
"61599842";"3400937851770";"3785177";"BICALUTAMIDE BIOGARAN 50 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2008-07-08;"plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s)";"oui";"100%";"40,63";"41,65";"1,02";"BICALUTAMIDE BIOGARAN 50 mg, comprime pellicule";"2007-02-01";"";"BICALUTAMIDE BIOGARAN 50 mg";"498";"1";7;"BICALUTAMIDE 50 mg, comprimé pelliculé";1;1;NA;30;30
"61605035";"3400927384196";"2738419";"IRBESARTAN ACCORD 150 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2014-03-18;"plaquette(s) PVC PVDC aluminium de 30 comprimé(s)";"oui";"65%";"4,57";"5,59";"1,02";"IRBESARTAN ACCORD 150 mg, comprime pellicule";"2013-04-09";"";"IRBESARTAN ACCORD 150 mg";"825";"1";3;"IRBESARTAN 150 mg, comprimé pelliculé";2;1;NA;30;30
"61605035";"3400927384257";"2738425";"IRBESARTAN ACCORD 150 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2014-03-18;"plaquette(s) PVC PVDC aluminium de 90 comprimé(s)";"oui";"65%";"13,19";"15,95";"2,76";"IRBESARTAN ACCORD 150 mg, comprime pellicule";"2013-04-09";"";"IRBESARTAN ACCORD 150 mg";"825";"1";3;"IRBESARTAN 150 mg, comprimé pelliculé";2;1;NA;90;90
"61606055";"3400921867244";"2186724";"IRBESARTAN MYLAN 150 MG CPR 90";"Présentation active";"Déclaration de commercialisation";2012-08-16;"plaquette(s) thermoformée(s) (ACLAR RX) polytrifluorochloroéthylène PVC-Aluminium de 90 comprimé(s)";"oui";"65%";"13,19";"15,95";"2,76";"IRBESARTAN MYLAN 150 mg, comprime";"2011-11-07";"";"IRBESARTAN MYLAN 150 mg";"825";"1";10;"IRBESARTAN 150 mg, comprimé";2;1;NA;90;90
"61606055";"3400921866643";"2186664";"IRBESARTAN MYLAN 150 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2012-08-16;"plaquette(s) thermoformée(s) (ACLAR RX) polytrifluorochloroéthylène PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"4,57";"5,59";"1,02";"IRBESARTAN MYLAN 150 mg, comprime";"2011-11-07";"";"IRBESARTAN MYLAN 150 mg";"825";"1";10;"IRBESARTAN 150 mg, comprimé";2;1;NA;30;30
"61607602";"3400930024157";"3002415";"EPLERENONE CRISTERS 25 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2016-02-12;"plaquette(s) PVC-Aluminium de 30 comprimé(s)";"oui";"65%";"18,15";"19,17";"1,02";"EPLERENONE CRISTERS 25 mg, comprime pellicule";"2015-09-17";"";"EPLERENONE CRISTERS 25 mg";"1243";"1";5;"EPLERENONE 25 mg, comprimé pelliculé";1;1;NA;30;30
"61609158";"3400921654783";"2165478";"EXEMESTANE RANBAXY 25 MG CPR 30";"Présentation active";"Déclaration de commercialisation";2011-12-21;"plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)";"oui";"100%";"49,35";"50,37";"1,02";"EXEMESTANE RANBAXY 25 mg, comprime pellicule";"2011-08-16";"";"EXEMESTANE RANBAXY 25 mg";"923";"1";13;"EXEMESTANE 25 mg, comprimé pelliculé";1;1;NA;30;30
